import time: self [us] | cumulative | imported package
import time:      1513 |       1513 |                               torch._functorch._aot_autograd.dispatch_and_compile_graph
import time:      1517 |       5827 |                             torch._functorch._aot_autograd.jit_compile_runtime_wrappers
import time:     14936 |      14936 |                               torch._inductor.inductor_prims
import time:      1400 |       1400 |                                 torch._functorch._activation_checkpointing
import time:      1634 |       3034 |                               torch._functorch._activation_checkpointing.knapsack
import time:      1239 |       1239 |                               torch._functorch.compile_utils
import time:      2851 |      22057 |                             torch._functorch.partitioners
import time:      2605 |      95220 |                           torch._functorch.aot_autograd
import time:     21428 |     118306 |                         torch._dynamo.polyfills.loader
import time:      1150 |    1687242 |                       torch._dynamo
import time:     15789 |    1703031 |                     diffusers.utils.torch_utils
import time:      1344 |    1704375 |                   diffusers.utils.peft_utils
import time:      1562 |       1562 |                   diffusers.utils.pil_utils
import time:      1444 |       1444 |                       PIL.ImageFilter
import time:      1645 |       1645 |                       diffusers.configuration_utils
import time:      2940 |       6028 |                     diffusers.image_processor
import time:       949 |        949 |                     diffusers.video_processor
import time:      1141 |       1141 |                         safetensors._safetensors_rust
import time:      1135 |       2275 |                       safetensors
import time:      1461 |       3735 |                     safetensors.torch
import time:      1273 |      11984 |                   diffusers.utils.remote_utils
import time:      1276 |       1276 |                   diffusers.utils.state_dict_utils
import time:       898 |        898 |                   diffusers.utils.typing_utils
import time:      1518 |    5478627 |                 diffusers.utils
import time:       929 |        929 |                 diffusers.utils.dummy_onnx_objects
import time:       846 |        846 |                 diffusers.utils.dummy_torch_and_torchsde_objects
import time:       808 |        808 |                 diffusers.utils.dummy_torch_and_transformers_and_opencv_objects
import time:       839 |        839 |                 diffusers.utils.dummy_torch_and_transformers_and_sentencepiece_objects
import time:       882 |        882 |                 diffusers.utils.dummy_torch_and_transformers_and_onnx_objects
import time:       946 |        946 |                 diffusers.utils.dummy_torch_and_librosa_objects
import time:      1124 |       1124 |                 diffusers.utils.dummy_transformers_and_torch_and_note_seq_objects
import time:      1018 |       1018 |                 diffusers.utils.dummy_flax_objects
import time:       981 |        981 |                 diffusers.utils.dummy_flax_and_transformers_objects
import time:      1017 |       1017 |                 diffusers.utils.dummy_note_seq_objects
import time:      2221 |    5490234 |               diffusers
import time:        16 |    5490249 |             diffusers.utils
import time:        21 |    5490270 |           diffusers.utils.loading_utils
import time:      1872 |       1872 |                   openai._types
import time:      1142 |       1142 |                       openai._utils._utils
import time:      1410 |       2552 |                     openai._utils._logs
import time:      1015 |       1015 |                     openai._utils._path
import time:       833 |        833 |                     openai._utils._sync
import time:       986 |        986 |                     openai._utils._proxy
import time:      1046 |       1046 |                       openai._utils._datetime_parse
import time:       865 |       1911 |                     openai._utils._compat
import time:       981 |        981 |                     openai._utils._typing
import time:       833 |        833 |                     openai._utils._streams
import time:      1093 |       1093 |                       openai._files
import time:       927 |       2019 |                     openai._utils._transform
import time:       979 |        979 |                     openai._utils._reflection
import time:      1164 |      13269 |                   openai._utils
import time:      1248 |       1248 |                   openai._compat
import time:       829 |        829 |                   openai._constants
import time:      1022 |       1022 |                   pydantic._internal._serializers
import time:      4771 |      23009 |                 openai._models
import time:      1136 |       1136 |                 openai.types.batch_error
import time:      1445 |       1445 |                 openai.types.batch_usage
import time:      1148 |       1148 |                     openai.types.shared.metadata
import time:       860 |        860 |                       openai.types.shared.reasoning_effort
import time:      1139 |       1998 |                     openai.types.shared.reasoning
import time:      1067 |       1067 |                       openai.types.shared.chat_model
import time:       915 |       1981 |                     openai.types.shared.all_models
import time:      1376 |       1376 |                     openai.types.shared.error_object
import time:      1335 |       1335 |                       openai.types.shared.comparison_filter
import time:      1214 |       2548 |                     openai.types.shared.compound_filter
import time:       887 |        887 |                     openai.types.shared.responses_model
import time:      1194 |       1194 |                     openai.types.shared.oauth_error_code
import time:      1348 |       1348 |                       openai.types.shared.function_parameters
import time:      1445 |       2792 |                     openai.types.shared.function_definition
import time:      1382 |       1382 |                     openai.types.shared.response_format_text
import time:      1424 |       1424 |                     openai.types.shared.custom_tool_input_format
import time:      1024 |       1024 |                     openai.types.shared.response_format_json_object
import time:      1296 |       1296 |                     openai.types.shared.response_format_json_schema
import time:      1459 |       1459 |                     openai.types.shared.response_format_text_python
import time:      1352 |       1352 |                     openai.types.shared.response_format_text_grammar
import time:      1205 |      23061 |                   openai.types.shared
import time:        49 |      23110 |                 openai.types.shared.metadata
import time:      1464 |       1464 |                 openai.types.batch_request_counts
import time:      2259 |      52420 |               openai.types.batch
import time:      1490 |       1490 |               openai.types.image
import time:      1898 |       1898 |               openai.types.model
import time:      1851 |       1851 |               openai.types.skill
import time:      1238 |       1238 |                 openai.types.video_size
import time:      1255 |       1255 |                 openai.types.video_model
import time:      1390 |       1390 |                 openai.types.video_seconds
import time:      1540 |       1540 |                 openai.types.video_create_error
import time:      1742 |       7163 |               openai.types.video
import time:      1169 |       1169 |                 openai.types.file_object
import time:      1402 |       2571 |               openai.types.upload
import time:      1338 |       1338 |               openai.types.embedding
import time:       827 |        827 |               openai.types.chat_model
import time:      1478 |       1478 |                 openai.types.completion_usage
import time:      1441 |       1441 |                 openai.types.completion_choice
import time:      1159 |       4078 |               openai.types.completion
import time:      2538 |       2538 |               openai.types.moderation
import time:      1109 |       1109 |               openai.types.skill_list
import time:       791 |        791 |               openai.types.audio_model
import time:       745 |        745 |               openai.types.image_model
import time:       778 |        778 |               openai.types.file_content
import time:      1037 |       1037 |               openai.types.file_deleted
import time:       842 |        842 |               openai.types.file_purpose
import time:      1693 |       1693 |               openai.types.vector_store
import time:      1197 |       1197 |               openai.types.deleted_skill
import time:      1038 |       1038 |               openai.types.model_deleted
import time:       839 |        839 |               openai.types.embedding_model
import time:      1557 |       1557 |               openai.types.images_response
import time:       910 |        910 |               openai.types.eval_list_params
import time:       952 |        952 |               openai.types.file_list_params
import time:       825 |        825 |               openai.types.moderation_model
import time:       938 |        938 |               openai.types.batch_list_params
import time:      1052 |       1052 |               openai.types.image_edit_params
import time:       862 |        862 |               openai.types.skill_list_params
import time:       911 |        911 |               openai.types.video_edit_params
import time:       817 |        817 |               openai.types.video_list_params
import time:       961 |        961 |               openai.types.video_model_param
import time:       975 |        975 |                     openai.types.shared_params.metadata
import time:       810 |        810 |                     openai.types.shared_params.reasoning
import time:       784 |        784 |                     openai.types.shared_params.chat_model
import time:       939 |        939 |                       openai.types.shared_params.comparison_filter
import time:       888 |       1826 |                     openai.types.shared_params.compound_filter
import time:       823 |        823 |                     openai.types.shared_params.responses_model
import time:       761 |        761 |                     openai.types.shared_params.oauth_error_code
import time:       804 |        804 |                     openai.types.shared_params.reasoning_effort
import time:       801 |        801 |                       openai.types.shared_params.function_parameters
import time:       936 |       1737 |                     openai.types.shared_params.function_definition
import time:      1026 |       1026 |                     openai.types.shared_params.response_format_text
import time:      1054 |       1054 |                     openai.types.shared_params.custom_tool_input_format
import time:       824 |        824 |                     openai.types.shared_params.response_format_json_object
import time:       993 |        993 |                     openai.types.shared_params.response_format_json_schema
import time:      1002 |      13413 |                   openai.types.shared_params
import time:        31 |      13443 |                 openai.types.shared_params.metadata
import time:      1020 |       1020 |                       openai.types.graders.python_grader
import time:      1887 |       1887 |                                 openai.types.responses.web_search_tool
import time:      2006 |       2006 |                                 openai.types.responses.custom_tool
import time:      1202 |       1202 |                                 openai.types.responses.computer_tool
import time:      1357 |       1357 |                                 openai.types.responses.function_tool
import time:      1388 |       1388 |                                 openai.types.responses.namespace_tool
import time:      1000 |       1000 |                                 openai.types.responses.apply_patch_tool
import time:      1587 |       1587 |                                 openai.types.responses.file_search_tool
import time:      1210 |       1210 |                                 openai.types.responses.tool_search_tool
import time:     66351 |      66351 |                                       openai.types.responses.inline_skill_source
import time:      1006 |      67357 |                                     openai.types.responses.inline_skill
import time:      1225 |       1225 |                                     openai.types.responses.skill_reference
import time:      1693 |       1693 |                                     openai.types.responses.container_network_policy_disabled
import time:      1322 |       1322 |                                       openai.types.responses.container_network_policy_domain_secret
import time:      1399 |       2721 |                                     openai.types.responses.container_network_policy_allowlist
import time:      1741 |      74735 |                                   openai.types.responses.container_auto
import time:      1199 |       1199 |                                     openai.types.responses.local_skill
import time:      1795 |       2993 |                                   openai.types.responses.local_environment
import time:      1147 |       1147 |                                   openai.types.responses.container_reference
import time:      1080 |      79953 |                                 openai.types.responses.function_shell_tool
import time:      1380 |       1380 |                                 openai.types.responses.web_search_preview_tool
import time:      1254 |       1254 |                                 openai.types.responses.computer_use_preview_tool
import time:      3931 |      98150 |                               openai.types.responses.tool
import time:      1162 |       1162 |                                 openai.types.responses.response_error
import time:      1255 |       1255 |                                 openai.types.responses.response_usage
import time:      1633 |       1633 |                                   openai.types.responses.response_input_file
import time:      1089 |       1089 |                                   openai.types.responses.response_input_text
import time:      1225 |       1225 |                                   openai.types.responses.response_input_image
import time:      1130 |       5075 |                                 openai.types.responses.response_prompt
import time:       949 |        949 |                                 openai.types.responses.response_status
import time:      1027 |       1027 |                                 openai.types.responses.tool_choice_mcp
import time:      1023 |       1023 |                                 openai.types.responses.tool_choice_shell
import time:      1047 |       1047 |                                 openai.types.responses.tool_choice_types
import time:      1092 |       1092 |                                 openai.types.responses.tool_choice_custom
import time:       781 |        781 |                                       openai.types.responses.response_input_content
import time:       875 |       1656 |                                     openai.types.responses.response_input_message_content_list
import time:      1158 |       2813 |                                   openai.types.responses.easy_input_message
import time:      2454 |       2454 |                                     openai.types.responses.response_output_text
import time:      1858 |       1858 |                                     openai.types.responses.response_output_refusal
import time:      1261 |       5572 |                                   openai.types.responses.response_output_message
import time:      1695 |       1695 |                                   openai.types.responses.response_reasoning_item
import time:      1287 |       1287 |                                   openai.types.responses.response_custom_tool_call
import time:      2538 |       2538 |                                       openai.types.responses.computer_action
import time:       998 |       3535 |                                     openai.types.responses.computer_action_list
import time:      3316 |       6851 |                                   openai.types.responses.response_computer_tool_call
import time:      1301 |       1301 |                                   openai.types.responses.response_function_tool_call
import time:      2346 |       2346 |                                   openai.types.responses.response_function_web_search
import time:      1190 |       1190 |                                   openai.types.responses.response_compaction_item_param
import time:      1594 |       1594 |                                   openai.types.responses.response_file_search_tool_call
import time:      1217 |       1217 |                                   openai.types.responses.response_custom_tool_call_output
import time:      1702 |       1702 |                                   openai.types.responses.response_code_interpreter_tool_call
import time:      1331 |       1331 |                                   openai.types.responses.response_tool_search_output_item_param
import time:      1171 |       1171 |                                       openai.types.responses.response_input_file_content
import time:       947 |        947 |                                       openai.types.responses.response_input_text_content
import time:      1173 |       1173 |                                       openai.types.responses.response_input_image_content
import time:       956 |       4245 |                                     openai.types.responses.response_function_call_output_item
import time:       845 |       5090 |                                   openai.types.responses.response_function_call_output_item_list
import time:      1585 |       1585 |                                   openai.types.responses.response_function_shell_call_output_content
import time:      1042 |       1042 |                                   openai.types.responses.response_computer_tool_call_output_screenshot
import time:      6355 |      42965 |                                 openai.types.responses.response_input_item
import time:      1288 |       1288 |                                 openai.types.responses.tool_choice_allowed
import time:       877 |        877 |                                 openai.types.responses.tool_choice_options
import time:      1017 |       1017 |                                   openai.types.responses.response_compaction_item
import time:      1114 |       1114 |                                   openai.types.responses.response_tool_search_call
import time:      1764 |       1764 |                                   openai.types.responses.response_apply_patch_tool_call
import time:      1120 |       1120 |                                   openai.types.responses.response_tool_search_output_item
import time:       954 |        954 |                                     openai.types.responses.response_local_environment
import time:      1159 |       1159 |                                     openai.types.responses.response_container_reference
import time:      1321 |       3432 |                                   openai.types.responses.response_function_shell_tool_call
import time:      2629 |       2629 |                                   openai.types.responses.response_apply_patch_tool_call_output
import time:      1538 |       1538 |                                   openai.types.responses.response_custom_tool_call_output_item
import time:      1600 |       1600 |                                   openai.types.responses.response_computer_tool_call_output_item
import time:      1424 |       1424 |                                   openai.types.responses.response_function_tool_call_output_item
import time:      1641 |       1641 |                                   openai.types.responses.response_function_shell_tool_call_output
import time:      3119 |      20391 |                                 openai.types.responses.response_output_item
import time:      1086 |       1086 |                                     openai.types.responses.response_format_text_json_schema_config
import time:       912 |       1997 |                                   openai.types.responses.response_format_text_config
import time:      1255 |       3252 |                                 openai.types.responses.response_text_config
import time:      1224 |       1224 |                                 openai.types.responses.tool_choice_function
import time:      1071 |       1071 |                                 openai.types.responses.tool_choice_apply_patch
import time:      2714 |      86404 |                               openai.types.responses.response
import time:      1043 |       1043 |                                 openai.types.responses.web_search_tool_param
import time:      1036 |       1036 |                                       openai.types.chat.chat_completion_audio
import time:      1051 |       1051 |                                         openai.types.chat.chat_completion_message_custom_tool_call
import time:      1243 |       1243 |                                         openai.types.chat.chat_completion_message_function_tool_call
import time:       856 |       3150 |                                       openai.types.chat.chat_completion_message_tool_call
import time:      1731 |       5915 |                                     openai.types.chat.chat_completion_message
import time:      1284 |       1284 |                                     openai.types.chat.chat_completion_token_logprob
import time:      2318 |       9516 |                                   openai.types.chat.chat_completion
import time:       705 |        705 |                                   openai.types.chat.chat_completion_role
import time:      2958 |       2958 |                                   openai.types.chat.chat_completion_chunk
import time:      1104 |       1104 |                                   openai.types.chat.completion_list_params
import time:      1359 |       1359 |                                     openai.types.chat.parsed_function_tool_call
import time:      2425 |       3783 |                                   openai.types.chat.parsed_chat_completion
import time:      1137 |       1137 |                                   openai.types.chat.chat_completion_deleted
import time:       848 |        848 |                                   openai.types.chat.chat_completion_modality
import time:      1207 |       1207 |                                     openai.types.chat.chat_completion_audio_param
import time:       861 |        861 |                                         openai.types.chat.chat_completion_content_part_text_param
import time:       863 |       1723 |                                       openai.types.chat.chat_completion_tool_message_param
import time:       877 |        877 |                                           openai.types.chat.chat_completion_content_part_image_param
import time:      1034 |       1034 |                                           openai.types.chat.chat_completion_content_part_input_audio_param
import time:       936 |       2847 |                                         openai.types.chat.chat_completion_content_part_param
import time:       913 |       3759 |                                       openai.types.chat.chat_completion_user_message_param
import time:      1146 |       1146 |                                       openai.types.chat.chat_completion_system_message_param
import time:      1150 |       1150 |                                       openai.types.chat.chat_completion_function_message_param
import time:       823 |        823 |                                         openai.types.chat.chat_completion_content_part_refusal_param
import time:       853 |        853 |                                           openai.types.chat.chat_completion_message_custom_tool_call_param
import time:       934 |        934 |                                           openai.types.chat.chat_completion_message_function_tool_call_param
import time:       918 |       2704 |                                         openai.types.chat.chat_completion_message_tool_call_union_param
import time:      1353 |       4880 |                                       openai.types.chat.chat_completion_assistant_message_param
import time:      1170 |       1170 |                                       openai.types.chat.chat_completion_developer_message_param
import time:      1028 |      14854 |                                     openai.types.chat.chat_completion_message_param
import time:      1022 |       1022 |                                       openai.types.chat.chat_completion_custom_tool_param
import time:      1099 |       1099 |                                       openai.types.chat.chat_completion_function_tool_param
import time:       897 |       3017 |                                     openai.types.chat.chat_completion_tool_union_param
import time:       888 |        888 |                                     openai.types.chat.chat_completion_stream_options_param
import time:      1172 |       1172 |                                     openai.types.chat.chat_completion_prediction_content_param
import time:       950 |        950 |                                       openai.types.chat.chat_completion_named_tool_choice_param
import time:       912 |        912 |                                         openai.types.chat.chat_completion_allowed_tools_param
import time:       920 |       1832 |                                       openai.types.chat.chat_completion_allowed_tool_choice_param
import time:       920 |        920 |                                       openai.types.chat.chat_completion_named_tool_choice_custom_param
import time:       983 |       4684 |                                     openai.types.chat.chat_completion_tool_choice_option_param
import time:      1018 |       1018 |                                     openai.types.chat.chat_completion_function_call_option_param
import time:      1476 |      28312 |                                   openai.types.chat.completion_create_params
import time:      1134 |       1134 |                                   openai.types.chat.completion_update_params
import time:       825 |        825 |                                   openai.types.chat.chat_completion_tool_param
import time:      1198 |       1198 |                                   openai.types.chat.chat_completion_function_tool
import time:      1089 |       1089 |                                     openai.types.chat.chat_completion_content_part_text
import time:      1316 |       1316 |                                     openai.types.chat.chat_completion_content_part_image
import time:      1349 |       3753 |                                   openai.types.chat.chat_completion_store_message
import time:      1003 |       1003 |                                   openai.types.chat.chat_completion_reasoning_effort
import time:       995 |        995 |                                   openai.types.chat.chat_completion_message_tool_call_param
import time:      1402 |      58668 |                                 openai.types.chat
import time:       964 |        964 |                                 openai.types.responses.custom_tool_param
import time:       813 |        813 |                                 openai.types.responses.computer_tool_param
import time:       895 |        895 |                                 openai.types.responses.function_tool_param
import time:       896 |        896 |                                 openai.types.responses.namespace_tool_param
import time:       887 |        887 |                                 openai.types.responses.apply_patch_tool_param
import time:      1415 |       1415 |                                 openai.types.responses.file_search_tool_param
import time:      1259 |       1259 |                                 openai.types.responses.tool_search_tool_param
import time:      1139 |       1139 |                                       openai.types.responses.inline_skill_source_param
import time:      1042 |       2181 |                                     openai.types.responses.inline_skill_param
import time:       914 |        914 |                                     openai.types.responses.skill_reference_param
import time:      1041 |       1041 |                                     openai.types.responses.container_network_policy_disabled_param
import time:       927 |        927 |                                       openai.types.responses.container_network_policy_domain_secret_param
import time:      1111 |       2038 |                                     openai.types.responses.container_network_policy_allowlist_param
import time:       942 |       7114 |                                   openai.types.responses.container_auto_param
import time:       917 |        917 |                                     openai.types.responses.local_skill_param
import time:       811 |       1727 |                                   openai.types.responses.local_environment_param
import time:       942 |        942 |                                   openai.types.responses.container_reference_param
import time:       902 |      10683 |                                 openai.types.responses.function_shell_tool_param
import time:       982 |        982 |                                 openai.types.responses.web_search_preview_tool_param
import time:       927 |        927 |                                 openai.types.responses.computer_use_preview_tool_param
import time:      2042 |      81470 |                               openai.types.responses.tool_param
import time:      1096 |       1096 |                                 openai.types.responses.response_input_message_item
import time:      1263 |       1263 |                                 openai.types.responses.response_custom_tool_call_item
import time:      1324 |       1324 |                                 openai.types.responses.response_function_tool_call_item
import time:      2476 |       6157 |                               openai.types.responses.response_item
import time:       916 |        916 |                               openai.types.responses.response_input
import time:      2296 |       2296 |                               openai.types.responses.parsed_response
import time:      1148 |       1148 |                               openai.types.responses.compacted_response
import time:      1079 |       1079 |                               openai.types.responses.response_item_list
import time:       917 |        917 |                               openai.types.responses.response_includable
import time:      1199 |       1199 |                               openai.types.responses.response_error_event
import time:      1123 |       1123 |                               openai.types.responses.response_input_audio
import time:      1020 |       1020 |                                     openai.types.responses.response_input_file_param
import time:      1156 |       1156 |                                     openai.types.responses.response_input_text_param
import time:       978 |        978 |                                     openai.types.responses.response_input_image_param
import time:      1063 |       4216 |                                   openai.types.responses.response_input_message_content_list_param
import time:       945 |       5160 |                                 openai.types.responses.easy_input_message_param
import time:      1191 |       1191 |                                   openai.types.responses.response_output_text_param
import time:       919 |        919 |                                   openai.types.responses.response_output_refusal_param
import time:       947 |       3056 |                                 openai.types.responses.response_output_message_param
import time:       862 |        862 |                                 openai.types.responses.response_reasoning_item_param
import time:       789 |        789 |                                 openai.types.responses.response_custom_tool_call_param
import time:      1270 |       1270 |                                   openai.types.responses.computer_action_list_param
import time:      1450 |       2720 |                                 openai.types.responses.response_computer_tool_call_param
import time:       965 |        965 |                                 openai.types.responses.response_function_tool_call_param
import time:      1020 |       1020 |                                 openai.types.responses.response_function_web_search_param
import time:       952 |        952 |                                 openai.types.responses.response_compaction_item_param_param
import time:       999 |        999 |                                 openai.types.responses.response_file_search_tool_call_param
import time:       955 |        955 |                                 openai.types.responses.response_custom_tool_call_output_param
import time:      1288 |       1288 |                                 openai.types.responses.response_code_interpreter_tool_call_param
import time:      1319 |       1319 |                                 openai.types.responses.response_tool_search_output_item_param_param
import time:       972 |        972 |                                   openai.types.responses.response_input_file_content_param
import time:       893 |        893 |                                   openai.types.responses.response_input_text_content_param
import time:       836 |        836 |                                   openai.types.responses.response_input_image_content_param
import time:      1190 |       3889 |                                 openai.types.responses.response_function_call_output_item_list_param
import time:      1149 |       1149 |                                 openai.types.responses.response_function_shell_call_output_content_param
import time:       951 |        951 |                                 openai.types.responses.response_computer_tool_call_output_screenshot_param
import time:      3130 |      29197 |                               openai.types.responses.response_input_param
import time:      1333 |       1333 |                               openai.types.responses.computer_action_param
import time:      1082 |       1082 |                               openai.types.responses.response_failed_event
import time:      1019 |       1019 |                               openai.types.responses.response_prompt_param
import time:      1179 |       1179 |                               openai.types.responses.response_queued_event
import time:       973 |        973 |                                 openai.types.responses.response_created_event
import time:      1124 |       1124 |                                 openai.types.responses.response_completed_event
import time:      1480 |       1480 |                                 openai.types.responses.response_text_done_event
import time:      1233 |       1233 |                                 openai.types.responses.response_audio_done_event
import time:      1101 |       1101 |                                 openai.types.responses.response_incomplete_event
import time:      1601 |       1601 |                                 openai.types.responses.response_text_delta_event
import time:      1169 |       1169 |                                 openai.types.responses.response_audio_delta_event
import time:      1541 |       1541 |                                 openai.types.responses.response_in_progress_event
import time:      1607 |       1607 |                                 openai.types.responses.response_refusal_done_event
import time:      1743 |       1743 |                                 openai.types.responses.response_refusal_delta_event
import time:      1247 |       1247 |                                 openai.types.responses.response_mcp_call_failed_event
import time:      1547 |       1547 |                                 openai.types.responses.response_output_item_done_event
import time:      1320 |       1320 |                                 openai.types.responses.response_content_part_done_event
import time:      1279 |       1279 |                                 openai.types.responses.response_output_item_added_event
import time:      1346 |       1346 |                                 openai.types.responses.response_content_part_added_event
import time:      1039 |       1039 |                                 openai.types.responses.response_mcp_call_completed_event
import time:      1528 |       1528 |                                 openai.types.responses.response_reasoning_text_done_event
import time:      1086 |       1086 |                                 openai.types.responses.response_mcp_call_in_progress_event
import time:      1654 |       1654 |                                 openai.types.responses.response_reasoning_text_delta_event
import time:      1413 |       1413 |                                 openai.types.responses.response_audio_transcript_done_event
import time:      1329 |       1329 |                                 openai.types.responses.response_mcp_list_tools_failed_event
import time:      1146 |       1146 |                                 openai.types.responses.response_audio_transcript_delta_event
import time:      1266 |       1266 |                                 openai.types.responses.response_mcp_call_arguments_done_event
import time:      1681 |       1681 |                                 openai.types.responses.response_image_gen_call_completed_event
import time:      1653 |       1653 |                                 openai.types.responses.response_mcp_call_arguments_delta_event
import time:      1466 |       1466 |                                 openai.types.responses.response_mcp_list_tools_completed_event
import time:      1126 |       1126 |                                 openai.types.responses.response_image_gen_call_generating_event
import time:      1210 |       1210 |                                 openai.types.responses.response_web_search_call_completed_event
import time:      1216 |       1216 |                                 openai.types.responses.response_web_search_call_searching_event
import time:      1148 |       1148 |                                 openai.types.responses.response_file_search_call_completed_event
import time:      1025 |       1025 |                                 openai.types.responses.response_file_search_call_searching_event
import time:      1085 |       1085 |                                 openai.types.responses.response_image_gen_call_in_progress_event
import time:      1327 |       1327 |                                 openai.types.responses.response_mcp_list_tools_in_progress_event
import time:      1085 |       1085 |                                 openai.types.responses.response_custom_tool_call_input_done_event
import time:      1298 |       1298 |                                 openai.types.responses.response_reasoning_summary_part_done_event
import time:      1293 |       1293 |                                 openai.types.responses.response_reasoning_summary_text_done_event
import time:      1436 |       1436 |                                 openai.types.responses.response_web_search_call_in_progress_event
import time:      1060 |       1060 |                                 openai.types.responses.response_custom_tool_call_input_delta_event
import time:      1194 |       1194 |                                 openai.types.responses.response_file_search_call_in_progress_event
import time:      1019 |       1019 |                                 openai.types.responses.response_function_call_arguments_done_event
import time:      1082 |       1082 |                                 openai.types.responses.response_image_gen_call_partial_image_event
import time:      1637 |       1637 |                                 openai.types.responses.response_output_text_annotation_added_event
import time:      1356 |       1356 |                                 openai.types.responses.response_reasoning_summary_part_added_event
import time:      1078 |       1078 |                                 openai.types.responses.response_reasoning_summary_text_delta_event
import time:      1201 |       1201 |                                 openai.types.responses.response_function_call_arguments_delta_event
import time:      1538 |       1538 |                                 openai.types.responses.response_code_interpreter_call_code_done_event
import time:      1691 |       1691 |                                 openai.types.responses.response_code_interpreter_call_completed_event
import time:      1128 |       1128 |                                 openai.types.responses.response_code_interpreter_call_code_delta_event
import time:      1191 |       1191 |                                 openai.types.responses.response_code_interpreter_call_in_progress_event
import time:      1483 |       1483 |                                 openai.types.responses.response_code_interpreter_call_interpreting_event
import time:      1940 |      67397 |                               openai.types.responses.response_stream_event
import time:      1721 |       1721 |                               openai.types.responses.tool_choice_mcp_param
import time:      2023 |       2023 |                               openai.types.responses.input_item_list_params
import time:      1040 |       1040 |                                 openai.types.responses.tool_choice_shell_param
import time:       925 |        925 |                                 openai.types.responses.tool_choice_types_param
import time:      1084 |       1084 |                                 openai.types.responses.tool_choice_custom_param
import time:      1224 |       1224 |                                 openai.types.responses.tool_choice_allowed_param
import time:      1532 |       1532 |                                     openai.types.responses.response_format_text_json_schema_config_param
import time:       935 |       2467 |                                   openai.types.responses.response_format_text_config_param
import time:      1050 |       3516 |                                 openai.types.responses.response_text_config_param
import time:       942 |        942 |                                 openai.types.responses.tool_choice_function_param
import time:      1049 |       1049 |                                 openai.types.responses.tool_choice_apply_patch_param
import time:      1050 |       1050 |                                 openai.types.responses.response_conversation_param_param
import time:      1625 |      12452 |                               openai.types.responses.response_create_params
import time:      1092 |       1092 |                                 openai.types.responses.response_conversation_param
import time:      2156 |       3247 |                               openai.types.responses.responses_client_event
import time:      1021 |       1021 |                               openai.types.responses.responses_server_event
import time:      2823 |       2823 |                                 openai.types.responses.response_input_item_param
import time:      1132 |       3954 |                               openai.types.responses.response_compact_params
import time:      1384 |       1384 |                               openai.types.responses.input_token_count_params
import time:      1451 |       1451 |                               openai.types.responses.response_retrieve_params
import time:      1538 |       1538 |                               openai.types.responses.input_token_count_response
import time:      2129 |       2129 |                               openai.types.responses.response_input_audio_param
import time:      1365 |       1365 |                               openai.types.responses.response_input_content_param
import time:      1656 |       1656 |                               openai.types.responses.responses_client_event_param
import time:      1070 |       1070 |                               openai.types.responses.response_function_call_output_item_param
import time:      1793 |     418856 |                             openai.types.responses
