import time: self [us] | cumulative | imported package
import time:       981 |        981 |                                         litestar.exceptions.base_exceptions
import time:       613 |        613 |                                         litestar.exceptions.dto_exceptions
import time:       766 |        766 |                                           litestar.status_codes
import time:       787 |       1553 |                                         litestar.exceptions.http_exceptions
import time:       850 |        850 |                                         litestar.exceptions.websocket_exceptions
import time:       790 |       4785 |                                       litestar.exceptions
import time:      1037 |       1037 |                                       litestar.utils.compat
import time:      1179 |      58128 |                                     litestar._multipart
import time:      1235 |       1235 |                                     litestar.datastructures.multi_dicts
import time:       798 |        798 |                                     litestar.utils.dataclass
import time:       808 |        808 |                                       litestar.utils.empty
import time:      1883 |       2690 |                                     litestar.utils.scope.state
import time:      2584 |      74156 |                                   litestar.datastructures.headers
import time:      1425 |       1425 |                                   litestar.datastructures.response_header
import time:       941 |        941 |                                   litestar.datastructures.secret_values
import time:       934 |        934 |                                   litestar.datastructures.state
import time:       743 |        743 |                                     litestar._parsers
import time:       937 |       1680 |                                   litestar.datastructures.url
import time:       990 |      84794 |                                 litestar.datastructures
import time:        28 |      84822 |                               litestar.datastructures.secret_values
import time:       912 |      85734 |                             litestar.serialization.msgspec_hooks
import time:       787 |      86521 |                           litestar.serialization
import time:       826 |      87346 |                         litestar.utils.scope
import time:      1431 |       1431 |                         litestar.utils.sequence
import time:       969 |        969 |                         litestar.utils.sync
import time:      1310 |     112037 |                       litestar.utils
import time:        30 |     112066 |                     litestar.utils.deprecation
import time:       897 |     112963 |                   litestar.types.internal_types
import time:       932 |        932 |                   litestar.types.protocols
import time:       715 |        715 |                   litestar.types.serialization
import time:       896 |     128486 |                 litestar.types
import time:        28 |     128513 |               litestar.types.internal_types
import time:       951 |     131662 |             litestar._asgi.routing_trie.mapping
import time:       702 |        702 |             litestar._asgi.routing_trie.traversal
import time:       635 |        635 |             litestar._asgi.routing_trie.validate
import time:       737 |     133735 |           litestar._asgi.routing_trie
import time:       967 |     134702 |         litestar._asgi.asgi_router
import time:       826 |     135527 |       litestar._asgi
import time:       737 |        737 |         litestar._openapi
import time:       737 |        737 |                 litestar._openapi.utils
import time:       831 |        831 |                     yaml.error
import time:       799 |        799 |                     yaml.tokens
import time:       808 |        808 |                     yaml.events
import time:       747 |        747 |                     yaml.nodes
import time:      3754 |       3754 |                       yaml.reader
import time:      1088 |       1088 |                       yaml.scanner
import time:       981 |        981 |                       yaml.parser
import time:       942 |        942 |                       yaml.composer
import time:      1172 |       1172 |                       yaml.constructor
import time:      1450 |       1450 |                       yaml.resolver
import time:       839 |      10223 |                     yaml.loader
import time:       767 |        767 |                       yaml.emitter
import time:       795 |        795 |                       yaml.serializer
import time:       805 |        805 |                       yaml.representer
import time:       726 |       3093 |                     yaml.dumper
import time:       996 |        996 |                       yaml._yaml
import time:       800 |       1796 |                     yaml.cyaml
import time:      1176 |      19470 |                   yaml
import time:       738 |        738 |                             litestar._signature.types
import time:      4055 |       4055 |                               litestar.params
import time:       668 |       4723 |                             litestar._signature.utils
import time:      7746 |       7746 |                                         annotated_types
import time:      1361 |       9107 |                                       litestar.typing
import time:      1493 |      10600 |                                     litestar.dto.data_structures
import time:      5529 |      16129 |                                   litestar.dto._types
import time:      1267 |       1267 |                                   litestar.dto.field
import time:       936 |      18330 |                                 litestar.dto._backend
import time:      1595 |       1595 |                                       _hashlib
import time:        54 |         54 |                                         _blake2
import time:       862 |        915 |                                       hashlib
import time:      1105 |       3615 |                                     hmac
import time:       687 |       4302 |                                   secrets
import time:       837 |       5138 |                                 litestar.dto._codegen_backend
import time:      1644 |       1644 |                                 litestar.dto.config
import time:       803 |        803 |                                 litestar.dto.types
import time:      1341 |       1341 |                                     litestar.response.base
import time:       689 |        689 |                                         email
import time:      1170 |       1170 |                                           calendar
import time:       704 |       1874 |                                         email._parseaddr
import time:       578 |        578 |                                           email.base64mime
import time:       802 |        802 |                                           email.quoprimime
import time:       809 |        809 |                                           email.errors
import time:       873 |        873 |                                             quopri
import time:       586 |       1459 |                                           email.encoders
import time:       752 |       4398 |                                         email.charset
import time:      1065 |       8024 |                                       email.utils
import time:       861 |        861 |                                       mimetypes
import time:      1095 |       1095 |                                             anyio._core
import time:      1214 |       2309 |                                           anyio._core._contextmanagers
import time:       829 |        829 |                                             anyio._core._exceptions
import time:       775 |       1604 |                                           anyio._core._eventloop
import time:      1098 |       1098 |                                                 anyio.abc._eventloop
import time:       817 |        817 |                                                 anyio.abc._resources
import time:       697 |        697 |                                                   anyio._core._typedattr
import time:       823 |        823 |                                                     anyio.abc._tasks
import time:      1247 |       2069 |                                                   anyio.abc._streams
import time:       990 |       3755 |                                                 anyio.abc._sockets
import time:       793 |        793 |                                                 anyio.abc._subprocesses
import time:       694 |        694 |                                                 anyio.abc._testing
import time:      1480 |       1480 |                                                   anyio.lowlevel
import time:       881 |        881 |                                                   anyio._core._tasks
import time:       845 |        845 |                                                   anyio._core._testing
import time:      2861 |       6067 |                                                 anyio._core._synchronization
import time:      1350 |       1350 |                                                 anyio.from_thread
import time:       931 |      15502 |                                               anyio.abc
import time:       830 |      16332 |                                             anyio.to_thread
import time:      1333 |      17665 |                                           anyio._core._fileio
import time:      1065 |       1065 |                                           anyio._core._resources
import time:       807 |        807 |                                           anyio._core._signals
import time:       805 |        805 |                                               anyio.streams
import time:      1525 |       2329 |                                             anyio.streams.stapled
import time:      1457 |       1457 |                                             anyio.streams.tls
import time:      1322 |       5108 |                                           anyio._core._sockets
import time:      2119 |       2119 |                                             anyio.streams.memory
import time:      1101 |       3220 |                                           anyio._core._streams
import time:       761 |        761 |                                           anyio._core._subprocesses
import time:       920 |        920 |                                           anyio._core._tempfile
import time:      1245 |      34699 |                                         anyio
import time:       909 |      35608 |                                       litestar.file_system
import time:      1065 |       1065 |                                       litestar.response.streaming
import time:      1028 |      46584 |                                     litestar.response.file
import time:      1287 |       1287 |                                     litestar.response.redirect
import time:      1921 |       1921 |                                     litestar.response.sse
import time:      1019 |       1019 |                                     litestar.response.template
import time:       890 |      53041 |                                   litestar.response
import time:        30 |      53070 |                                 litestar.response.base
import time:      1117 |       1117 |                                     litestar.connection.base
import time:      1003 |       1003 |                                     litestar.connection.request
import time:      1034 |       1034 |                                     litestar.connection.websocket
import time:       927 |       4080 |                                   litestar.connection
import time:       715 |        715 |                                   litestar.utils.warnings
import time:      2358 |       7153 |                                 litestar.utils.signature
import time:      1071 |      87206 |                               litestar.dto.base_dto
import time:      1463 |       1463 |                               litestar.dto.dataclass_dto
import time:      1385 |       1385 |                                       litestar.plugins.base
import time:      1202 |       2587 |                                     litestar.plugins
import time:      1177 |       1177 |                                         litestar.openapi.spec.base
import time:       852 |        852 |                                         litestar.openapi.spec.callback
import time:      1234 |       1234 |                                         litestar.openapi.spec.components
import time:      1041 |       1041 |                                         litestar.openapi.spec.contact
import time:      1094 |       1094 |                                         litestar.openapi.spec.discriminator
import time:      1063 |       1063 |                                         litestar.openapi.spec.encoding
import time:      1750 |       1750 |                                         litestar.openapi.spec.enums
import time:      1453 |       1453 |                                         litestar.openapi.spec.example
import time:      1149 |       1149 |                                         litestar.openapi.spec.external_documentation
import time:      1316 |       1316 |                                         litestar.openapi.spec.header
import time:      1249 |       1249 |                                         litestar.openapi.spec.info
import time:      1154 |       1154 |                                         litestar.openapi.spec.license
import time:      1646 |       1646 |                                         litestar.openapi.spec.link
import time:      1465 |       1465 |                                         litestar.openapi.spec.media_type
import time:      1683 |       1683 |                                         litestar.openapi.spec.oauth_flow
import time:      1041 |       1041 |                                         litestar.openapi.spec.oauth_flows
import time:      1188 |       1188 |                                           litestar.openapi.spec.server
import time:      1303 |       2491 |                                         litestar.openapi.spec.open_api
import time:      1268 |       1268 |                                         litestar.openapi.spec.operation
import time:      1361 |       1361 |                                         litestar.openapi.spec.parameter
import time:      3115 |       3115 |                                         litestar.openapi.spec.path_item
import time:      1849 |       1849 |                                         litestar.openapi.spec.paths
import time:      1784 |       1784 |                                         litestar.openapi.spec.reference
import time:      2677 |       2677 |                                         litestar.openapi.spec.request_body
import time:      1959 |       1959 |                                         litestar.openapi.spec.response
import time:       981 |        981 |                                         litestar.openapi.spec.responses
import time:      3776 |       3776 |                                         litestar.openapi.spec.schema
import time:       953 |        953 |                                         litestar.openapi.spec.security_requirement
import time:      1328 |       1328 |                                         litestar.openapi.spec.security_scheme
import time:      1052 |       1052 |                                         litestar.openapi.spec.server_variable
import time:      1177 |       1177 |                                         litestar.openapi.spec.tag
import time:      1160 |       1160 |                                         litestar.openapi.spec.xml
import time:      1549 |      48837 |                                       litestar.openapi.spec
import time:      1115 |      49951 |                                     litestar.plugins.core._msgspec
import time:       946 |      53483 |                                   litestar.plugins.core
import time:        40 |      53523 |                                 litestar.plugins.core._msgspec
import time:      1362 |      54885 |                               litestar.dto.msgspec_dto
import time:       817 |     144369 |                             litestar.dto
import time:      1288 |     151116 |                           litestar._signature.model
import time:       679 |     151795 |                         litestar._signature
import time:       926 |        926 |                         litestar.di
import time:       979 |     153698 |                       litestar.handlers.base
import time:       935 |     154633 |                     litestar.handlers.asgi_handlers
import time:       952 |        952 |                           litestar._layers
import time:      1019 |       1970 |                         litestar._layers.utils
import time:       794 |        794 |                         litestar.handlers.http_handlers._utils
import time:      1462 |       4226 |                       litestar.handlers.http_handlers.base
import time:       891 |        891 |                       litestar.handlers.http_handlers.decorators
import time:       951 |       6067 |                     litestar.handlers.http_handlers
import time:       882 |        882 |                         litestar.handlers.websocket_handlers._utils
import time:       848 |        848 |                         litestar.handlers.websocket_handlers.route_handler
import time:      1191 |       2920 |                       litestar.handlers.websocket_handlers.listener
import time:       968 |        968 |                       litestar.handlers.websocket_handlers.stream
import time:       894 |       4781 |                     litestar.handlers.websocket_handlers
import time:       871 |     166350 |                   litestar.handlers
import time:      1003 |     186823 |                 litestar.openapi.plugins
import time:      1609 |     189168 |               litestar.openapi.config
import time:       907 |        907 |                 litestar.controller
import time:      1113 |       2020 |               litestar.openapi.controller
import time:      1090 |       1090 |               litestar.openapi.datastructures
import time:       812 |     193089 |             litestar.openapi
import time:        35 |     193123 |           litestar.openapi.spec
